ID Cluster,Nº Páginas,Temática Dominante,Composición del Cluster (%),Menciones Totales
39,2392,HACKING,HACKING (33.3%) | DRUGS (33.3%),3
36,251,DRUGS,DRUGS (33.3%) | HACKING (33.3%),9
21,81,MARKETPLACE,MARKETPLACE (21.4%) | CARDING (20.0%),70
15,71,HACKING,HACKING (24.1%) | MARKETPLACE (20.7%),87
8,49,DRUGS,DRUGS (23.5%) | MARKETPLACE (19.0%),1565
2,48,DRUGS,DRUGS (24.6%) | MARKETPLACE (24.6%),69
10,48,DRUGS,DRUGS (38.5%) | HACKING (23.1%),26
32,14,HACKING,HACKING (34.3%) | FRAUD (19.4%),315
0,5,DRUGS,DRUGS (37.2%) | CARDING (20.9%),43
31,5,DRUGS,DRUGS (50.0%) | CARDING (50.0%),4
11,4,FRAUD,FRAUD (20.8%) | HACKING (20.8%),130
4,4,DRUGS,DRUGS (30.5%) | MARKETPLACE (23.7%),59
20,4,CARDING,CARDING (33.3%) | FRAUD (25.0%),12
1,3,FRAUD,FRAUD (23.1%) | DRUGS (19.2%),26
33,3,HACKING,HACKING (21.8%) | FRAUD (21.8%),55
35,2,DRUGS,DRUGS (100.0%),1
5,2,DRUGS,DRUGS (100.0%),3
6,2,HACKING,HACKING (35.3%) | RANSOMWARE (17.6%),17
7,2,MARKETPLACE,MARKETPLACE (21.1%) | DRUGS (21.1%),38
18,2,DRUGS,DRUGS (100.0%),2
19,2,RANSOMWARE,RANSOMWARE (37.5%) | HACKING (25.0%),8
29,2,CARDING,CARDING (23.1%) | FRAUD (23.1%),13
30,2,MARKETPLACE,MARKETPLACE (26.9%) | DRUGS (23.1%),26
34,2,CARDING,CARDING (50.0%) | MARKETPLACE (25.0%),4
1877,1,N/A,⚙️ Infraestructura / Técnico,0
1878,1,N/A,⚙️ Infraestructura / Técnico,0
1879,1,N/A,⚙️ Infraestructura / Técnico,0
1880,1,N/A,⚙️ Infraestructura / Técnico,0
1881,1,N/A,⚙️ Infraestructura / Técnico,0
1882,1,N/A,⚙️ Infraestructura / Técnico,0
1883,1,N/A,⚙️ Infraestructura / Técnico,0
1884,1,N/A,⚙️ Infraestructura / Técnico,0
1885,1,N/A,⚙️ Infraestructura / Técnico,0
1886,1,N/A,⚙️ Infraestructura / Técnico,0
1887,1,N/A,⚙️ Infraestructura / Técnico,0
1888,1,N/A,⚙️ Infraestructura / Técnico,0
1889,1,N/A,⚙️ Infraestructura / Técnico,0
1890,1,N/A,⚙️ Infraestructura / Técnico,0
37,1,N/A,⚙️ Infraestructura / Técnico,0
38,1,N/A,⚙️ Infraestructura / Técnico,0
40,1,N/A,⚙️ Infraestructura / Técnico,0
41,1,N/A,⚙️ Infraestructura / Técnico,0
42,1,N/A,⚙️ Infraestructura / Técnico,0
43,1,N/A,⚙️ Infraestructura / Técnico,0
44,1,N/A,⚙️ Infraestructura / Técnico,0
45,1,N/A,⚙️ Infraestructura / Técnico,0
46,1,N/A,⚙️ Infraestructura / Técnico,0
47,1,N/A,⚙️ Infraestructura / Técnico,0
48,1,N/A,⚙️ Infraestructura / Técnico,0
49,1,N/A,⚙️ Infraestructura / Técnico,0
50,1,N/A,⚙️ Infraestructura / Técnico,0
51,1,N/A,⚙️ Infraestructura / Técnico,0
52,1,N/A,⚙️ Infraestructura / Técnico,0
53,1,N/A,⚙️ Infraestructura / Técnico,0
54,1,N/A,⚙️ Infraestructura / Técnico,0
55,1,N/A,⚙️ Infraestructura / Técnico,0
56,1,N/A,⚙️ Infraestructura / Técnico,0
57,1,N/A,⚙️ Infraestructura / Técnico,0
58,1,N/A,⚙️ Infraestructura / Técnico,0
59,1,N/A,⚙️ Infraestructura / Técnico,0
60,1,N/A,⚙️ Infraestructura / Técnico,0
61,1,N/A,⚙️ Infraestructura / Técnico,0
62,1,N/A,⚙️ Infraestructura / Técnico,0
63,1,N/A,⚙️ Infraestructura / Técnico,0
64,1,N/A,⚙️ Infraestructura / Técnico,0
65,1,N/A,⚙️ Infraestructura / Técnico,0
66,1,N/A,⚙️ Infraestructura / Técnico,0
67,1,N/A,⚙️ Infraestructura / Técnico,0
68,1,N/A,⚙️ Infraestructura / Técnico,0
69,1,N/A,⚙️ Infraestructura / Técnico,0
70,1,N/A,⚙️ Infraestructura / Técnico,0
71,1,N/A,⚙️ Infraestructura / Técnico,0
72,1,N/A,⚙️ Infraestructura / Técnico,0
73,1,N/A,⚙️ Infraestructura / Técnico,0
74,1,N/A,⚙️ Infraestructura / Técnico,0
75,1,N/A,⚙️ Infraestructura / Técnico,0
76,1,N/A,⚙️ Infraestructura / Técnico,0
77,1,N/A,⚙️ Infraestructura / Técnico,0
78,1,N/A,⚙️ Infraestructura / Técnico,0
79,1,N/A,⚙️ Infraestructura / Técnico,0
80,1,N/A,⚙️ Infraestructura / Técnico,0
81,1,N/A,⚙️ Infraestructura / Técnico,0
82,1,N/A,⚙️ Infraestructura / Técnico,0
83,1,N/A,⚙️ Infraestructura / Técnico,0
84,1,N/A,⚙️ Infraestructura / Técnico,0
85,1,N/A,⚙️ Infraestructura / Técnico,0
86,1,N/A,⚙️ Infraestructura / Técnico,0
87,1,N/A,⚙️ Infraestructura / Técnico,0
88,1,N/A,⚙️ Infraestructura / Técnico,0
89,1,N/A,⚙️ Infraestructura / Técnico,0
90,1,N/A,⚙️ Infraestructura / Técnico,0
91,1,N/A,⚙️ Infraestructura / Técnico,0
92,1,N/A,⚙️ Infraestructura / Técnico,0
93,1,N/A,⚙️ Infraestructura / Técnico,0
94,1,N/A,⚙️ Infraestructura / Técnico,0
