ID Comunidad,Nº Páginas,Clúster Base (K-Means),ADN Ontológico
15,99,1,"DRUGS (1.35%), FRAUD (0.34%), HACKING (0.34%)"
25,98,1,WEAPON (1.02%)
65,98,4,"HACKING (98.50%), MARKETPLACE (0.82%), FRAUD (0.51%), PHONE (0.17%)"
35,94,1,"DRUGS (4.26%), FRAUD (1.06%), HACKING (1.06%)"
7,94,1,"CARDING (1.06%), HACKING (1.06%), FRAUD (0.43%), PHONE (0.21%), MARKETPLACE (0.21%)"
34,92,5,"MARKETPLACE (92.50%), PHONE (7.07%), DRUGS (0.33%), FRAUD (0.05%), HACKING (0.05%)"
21,89,1,⚠️ Sin perfil claro
0,86,1,"DRUGS (63.95%), HACKING (7.84%), FRAUD (7.61%), CARDING (3.98%), MARKETPLACE (3.15%)"
63,85,4,"HACKING (78.21%), CARDING (9.29%), MARKETPLACE (4.83%), PHONE (2.75%), RANSOMWARE (2.57%)"
54,82,2,CARDING (100.00%)
60,82,3,FRAUD (100.00%)
6,81,1,"RANSOMWARE (6.32%), MARKETPLACE (4.96%), DRUGS (3.72%), CARDING (3.36%), HACKING (2.94%)"
66,80,6,"PHONE (99.38%), RANSOMWARE (0.62%)"
49,78,2,"CARDING (59.28%), HACKING (22.54%), MARKETPLACE (15.74%), PHONE (1.30%), FRAUD (0.79%)"
70,78,5,"MARKETPLACE (87.09%), DRUGS (7.55%), CARDING (1.78%), PHONE (1.72%), HACKING (1.30%)"
31,77,1,"DRUGS (2.60%), FRAUD (1.30%), HACKING (1.30%)"
13,75,1,"DRUGS (3.30%), HACKING (1.48%), WEAPON (1.33%), PHONE (0.63%), MARKETPLACE (0.59%)"
30,74,1,"DRUGS (4.28%), FRAUD (1.34%), HACKING (1.09%), CARDING (0.05%)"
20,73,1,⚠️ Sin perfil claro
51,72,2,"CARDING (95.42%), MARKETPLACE (3.19%), HACKING (0.97%), FRAUD (0.36%), PHONE (0.06%)"
28,72,1,⚠️ Sin perfil claro
53,72,2,CARDING (100.00%)
55,72,3,"FRAUD (99.41%), CARDING (0.43%), DRUGS (0.07%), MARKETPLACE (0.04%), HACKING (0.04%)"
5,72,1,"DRUGS (17.55%), MARKETPLACE (3.88%), HACKING (2.87%), RANSOMWARE (2.67%), CARDING (1.76%)"
46,71,1,"FRAUD (0.94%), HACKING (0.94%), DRUGS (0.94%)"
9,71,1,"DRUGS (2.35%), MARKETPLACE (0.47%)"
61,71,3,FRAUD (100.00%)
48,71,1,"FRAUD (0.47%), HACKING (0.47%), DRUGS (0.47%)"
59,70,3,FRAUD (100.00%)
