ID Comunidad,Nº Páginas,Clúster Original (K-Means),ADN Ontológico (Promedio %)
1,100,1,"DRUGS (62.21%), FRAUD (8.82%), HACKING (8.42%), CARDING (4.20%), MARKETPLACE (2.75%)"
33,96,1,"DRUGS (2.08%), FRAUD (1.04%), HACKING (1.04%)"
43,95,1,"DRUGS (5.26%), FRAUD (1.05%), HACKING (1.05%)"
75,93,5,"MARKETPLACE (93.55%), PHONE (6.45%)"
67,90,4,HACKING (100.00%)
57,89,3,"FRAUD (99.52%), CARDING (0.35%), DRUGS (0.06%), MARKETPLACE (0.04%), HACKING (0.04%)"
49,89,1,"FRAUD (0.37%), HACKING (0.37%), DRUGS (0.37%)"
26,83,1,"WEAPON (1.20%), HACKING (0.45%), FRAUD (0.30%), CARDING (0.30%), DRUGS (0.15%)"
65,78,4,"HACKING (64.86%), CARDING (16.88%), MARKETPLACE (10.64%), RANSOMWARE (2.93%), FRAUD (2.49%)"
66,77,4,"HACKING (82.61%), CARDING (7.03%), MARKETPLACE (3.09%), PHONE (2.96%), RANSOMWARE (2.16%)"
51,77,2,"CARDING (84.20%), HACKING (8.44%), MARKETPLACE (5.03%), PHONE (1.64%), FRAUD (0.45%)"
40,77,1,"DRUGS (4.76%), FRAUD (0.87%), HACKING (0.87%)"
7,76,1,"RANSOMWARE (5.26%), MARKETPLACE (4.32%), CARDING (2.94%), HACKING (2.34%), DRUGS (1.72%)"
64,75,3,FRAUD (100.00%)
39,75,1,"DRUGS (4.89%), FRAUD (0.89%), HACKING (0.89%)"
27,75,1,⚠️ Sin perfil temático claro
31,73,1,"DRUGS (2.28%), FRAUD (0.91%), HACKING (0.91%)"
29,72,1,⚠️ Sin perfil temático claro
76,72,5,"MARKETPLACE (93.75%), PHONE (6.25%)"
18,71,1,"WEAPON (10.56%), DRUGS (1.83%), FRAUD (1.06%), HACKING (0.49%), CARDING (0.14%)"
8,71,1,"HACKING (0.85%), CARDING (0.85%), FRAUD (0.56%), MARKETPLACE (0.28%), RANSOMWARE (0.28%)"
48,70,6,"PHONE (98.61%), WEAPON (0.71%), FRAUD (0.48%), DRUGS (0.20%)"
0,70,5,"MARKETPLACE (91.43%), PHONE (8.57%)"
34,70,1,"DRUGS (2.38%), FRAUD (0.95%), HACKING (0.95%)"
22,69,1,⚠️ Sin perfil temático claro
54,68,2,CARDING (100.00%)
20,67,1,⚠️ Sin perfil temático claro
5,66,1,"DRUGS (22.95%), MARKETPLACE (3.20%), FRAUD (3.16%), HACKING (2.55%), CARDING (1.14%)"
14,65,1,"DRUGS (2.27%), HACKING (1.71%), WEAPON (1.54%), PHONE (0.73%), MARKETPLACE (0.68%)"
23,65,1,⚠️ Sin perfil temático claro
19,65,1,⚠️ Sin perfil temático claro
2,64,1,"DRUGS (36.87%), HACKING (9.57%), FRAUD (8.76%), CARDING (4.19%), MARKETPLACE (2.50%)"
32,64,6,"PHONE (99.22%), RANSOMWARE (0.78%)"
28,64,1,"HACKING (0.59%), FRAUD (0.39%), CARDING (0.39%), DRUGS (0.20%)"
72,63,5,"MARKETPLACE (86.90%), DRUGS (8.56%), CARDING (1.88%), PHONE (1.34%), HACKING (0.90%)"
30,63,1,"DRUGS (2.91%), FRAUD (1.04%), HACKING (0.76%), CARDING (0.06%)"
45,61,1,"DRUGS (4.37%), FRAUD (1.09%), HACKING (1.09%)"
17,61,1,"DRUGS (2.19%), FRAUD (0.55%), HACKING (0.55%)"
63,61,3,FRAUD (100.00%)
56,61,2,CARDING (100.00%)
58,61,6,"PHONE (99.18%), WEAPON (0.82%)"
