Sitio Web (Sanitizado),Categoría (Root),Detalle de Términos,Total Apariciones
http://h63rtg7uetpfgdmubwzqtfyvjxiksgy6cgec5hdqnun2nc7scm7di5id.onion/,DRUGS,"drugs (5), drugs (5)",10
http://h63rtg7uetpfgdmubwzqtfyvjxiksgy6cgec5hdqnun2nc7scm7di5id.onion/,CARDING,"carding (4), carding (4)",8
http://h63rtg7uetpfgdmubwzqtfyvjxiksgy6cgec5hdqnun2nc7scm7di5id.onion/,WEAPON,"weapon (1), weapon (1), guns (5)",7
http://drugaxieoks3ls2kqaqhki6fcm2cwwmbf4prlf3xpfxqpljuj752cqad.onion/,DRUGS,"drugs (3), drugs (3)",6
http://xwnocztikxwixhaqwbw6hoxulfhbwnyr5ywp2pi3taerynbe4ctk5cyd.onion/,DRUGS,"drugs (3), drugs (3)",6
http://globalupfb6ojozlnn22p2zcl57ojnjlxvcvl52f7ldwqrkfwrfmcgyd.onion/,DRUGS,"drugs (3), drugs (3)",6
http://globalupfb6ojozlnn22p2zcl57ojnjlxvcvl52f7ldwqrkfwrfmcgyd.onion/,CARDING,"carding (3), carding (3)",6
http://globalupfb6ojozlnn22p2zcl57ojnjlxvcvl52f7ldwqrkfwrfmcgyd.onion/,HACKING,"hacking (24), hacking (24)",48
http://globalupfb6ojozlnn22p2zcl57ojnjlxvcvl52f7ldwqrkfwrfmcgyd.onion/,MARKETPLACE,"escrow (2), btc (9)",11
http://globalupfb6ojozlnn22p2zcl57ojnjlxvcvl52f7ldwqrkfwrfmcgyd.onion/,PHONE,"phone (1), phone (1)",2
http://x4fcceh6bfwxr4b54i6tgufhmut43jqqi4oeapg3oubjlrkzzm5bw5qd.onion/,WEAPON,guns (30),30
http://mdzuovzic42i2lxkp6qu6hcchxgxylctbetfe6p7czjbo37ygzc35hyd.onion/,DRUGS,"drugs (20), drugs (20)",40
http://mdzuovzic42i2lxkp6qu6hcchxgxylctbetfe6p7czjbo37ygzc35hyd.onion/,CARDING,"carding (7), carding (7)",14
http://mdzuovzic42i2lxkp6qu6hcchxgxylctbetfe6p7czjbo37ygzc35hyd.onion/,WEAPON,guns (8),8
http://drugalcay2rkclrtjsdzinba7ahpovl5ay5nlf53qtynwbfs7d6gstyd.onion/,DRUGS,"drugs (6), drugs (6)",12
http://muwgjdckwwmhyi7lj73dspumrxmzuzjvujmtmyrhhbjrgswcakobtfad.onion/,DRUGS,"drugs (8), drugs (8)",16
http://muwgjdckwwmhyi7lj73dspumrxmzuzjvujmtmyrhhbjrgswcakobtfad.onion/,HACKING,"hacking (2), hacking (2)",4
http://muwgjdckwwmhyi7lj73dspumrxmzuzjvujmtmyrhhbjrgswcakobtfad.onion/,WEAPON,guns (4),4
http://drug4rvocj5lhlrh4numvzl7mhbg6yclxmasingem5jmgnlwirqr64id.onion/,DRUGS,"drugs (3), drugs (3)",6
http://3j22zfxnpamu7f64lbzjjvbtm6i3adnpsn3ujg3mfrzivz2pok4sboqd.onion/,DRUGS,"drugs (14), molly (1), drugs (14)",29
http://3j22zfxnpamu7f64lbzjjvbtm6i3adnpsn3ujg3mfrzivz2pok4sboqd.onion/,WEAPON,guns (1),1
http://mariankfn7xm57nvs22fyvtzx34yu6ummobntdoffjxxipya2m3p6qyd.onion/,DRUGS,"drugs (8), drugs (8)",16
http://mariankfn7xm57nvs22fyvtzx34yu6ummobntdoffjxxipya2m3p6qyd.onion/,CARDING,fullz (1),1
http://mariankfn7xm57nvs22fyvtzx34yu6ummobntdoffjxxipya2m3p6qyd.onion/,HACKING,"hacking (6), hacking (6)",12
http://mariankfn7xm57nvs22fyvtzx34yu6ummobntdoffjxxipya2m3p6qyd.onion/,FRAUD,fullz (1),1
http://mariankfn7xm57nvs22fyvtzx34yu6ummobntdoffjxxipya2m3p6qyd.onion/,MARKETPLACE,"fullz (1), btc (6)",7
http://globdealxzrt4ofm4bg3wo2epcjv3qt6zrjdfub6twp73fwwviusf2qd.onion/,DRUGS,"drugs (3), drugs (3)",6
http://globdealxzrt4ofm4bg3wo2epcjv3qt6zrjdfub6twp73fwwviusf2qd.onion/,CARDING,"carding (3), carding (3)",6
http://globdealxzrt4ofm4bg3wo2epcjv3qt6zrjdfub6twp73fwwviusf2qd.onion/,HACKING,"hacking (24), hacking (24)",48
http://globdealxzrt4ofm4bg3wo2epcjv3qt6zrjdfub6twp73fwwviusf2qd.onion/,MARKETPLACE,"escrow (2), btc (10)",12
http://globdealxzrt4ofm4bg3wo2epcjv3qt6zrjdfub6twp73fwwviusf2qd.onion/,PHONE,"phone (1), phone (1)",2
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,DRUGS,"drugs (14), pcp (4), X (6), drugs (14)",38
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,RANSOMWARE,malware (2),2
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,CARDING,"carding (1), dumps (3), carding (1)",5
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,HACKING,"hacking (7), malware (2), hacking (7)",16
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,FRAUD,"fraud (8), fraud (8)",16
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,WEAPON,guns (3),3
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,MARKETPLACE,escrow (25),25
http://darklvclcczi24ewuahafg2rcwtoxuojdv6eqrrbyunshdhmpsncm5qd.onion/,PHONE,"phone (1), phone (1)",2
http://timeasanwdqimjalgilfkfzezgusmtmtbysc4bb3jv6upkrr7brjeoqd.onion/,DRUGS,"drugs (7), drugs (7)",14
http://timeasanwdqimjalgilfkfzezgusmtmtbysc4bb3jv6upkrr7brjeoqd.onion/,CARDING,"carding (2), carding (2)",4
http://timeasanwdqimjalgilfkfzezgusmtmtbysc4bb3jv6upkrr7brjeoqd.onion/,HACKING,"hacking (3), hacking (3)",6
http://timeasanwdqimjalgilfkfzezgusmtmtbysc4bb3jv6upkrr7brjeoqd.onion/,WEAPON,guns (6),6
