Comparación,P-Valor,Resultado Estadístico,Interpretación
CARDING vs DRUGS,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
CARDING vs HACKING,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
DRUGS vs FRAUD,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
DRUGS vs MARKETPLACE,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
DRUGS vs WEAPON,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
FRAUD vs HACKING,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
DRUGS vs PHONE,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
FRAUD vs RANSOMWARE,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
HACKING vs WEAPON,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
RANSOMWARE vs WEAPON,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
PHONE vs RANSOMWARE,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
MARKETPLACE vs RANSOMWARE,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
HACKING vs MARKETPLACE,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
HACKING vs PHONE,0.0,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
CARDING vs RANSOMWARE,4.182773359667102e-301,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
CARDING vs WEAPON,2.987118929214974e-172,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
CARDING vs PHONE,7.32193897078655e-123,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
MARKETPLACE vs WEAPON,5.223173103359626e-81,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
CARDING vs FRAUD,1.4602758541479045e-63,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
MARKETPLACE vs PHONE,5.212572700246843e-47,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
FRAUD vs WEAPON,6.701752221773555e-26,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
CARDING vs MARKETPLACE,1.6630751827829013e-19,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
FRAUD vs MARKETPLACE,1.2463005712462478e-16,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
FRAUD vs PHONE,8.6508911541288e-09,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
PHONE vs WEAPON,9.236743180906115e-08,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
DRUGS vs RANSOMWARE,3.074087682211762e-07,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
HACKING vs RANSOMWARE,0.0005892786775506465,✅ Diferentes (Patrones Distintos),Categorías bien separadas estadísticamente
DRUGS vs HACKING,0.1010995010782127,⚠️ Similares (Mismo Patrón),Posible correlación estructural o solapamiento
